core,400_perlbench,401_bzip2,403_gcc,410_bwaves,416_gamess,429_mcf,433_milc,434_zeusmp,435_gromacs,436_cactusADM,437_leslie3d,444_namd,445_gobmk,447_dealII,450_soplex,454_calculix,456_hmmer,458_sjeng,459_GemsFDTD,462_libquantum,464_h264ref,465_tonto,470_lbm,471_omnetpp,473_astar,483_xalancbmk
36,7.57899399346e-11,7.32780950208e-11,6.83160654106e-11,7.93144865416e-11,8.35577978441e-11,3.12594027921e-10,1.08950375312e-10,1.0012611229e-10,9.6648651765e-11,1.31751354737e-10,1.39629796306e-10,5.72354488099e-11,7.06329968839e-11,8.01508015015e-11,1.17358394026e-10,8.93797837446e-11,9.61883466297e-11,6.49128790373e-11,1.67470549384e-10,1.22367434485e-10,9.08058641648e-11,8.4765898943e-11,1.16265438371e-10,4.82914281701e-11,7.6068736536e-11,8.11429691168e-11
37,7.76262134521e-11,7.59684667689e-11,7.12542787682e-11,8.29614242045e-11,8.74346563508e-11,3.30530460666e-10,1.14620008389e-10,1.05802896814e-10,1.00701877636e-10,1.38165317717e-10,1.47691758014e-10,5.95750561947e-11,7.37759175442e-11,8.35277035169e-11,1.23527255019e-10,9.37761433506e-11,1.01474156569e-10,6.81069402363e-11,1.64572023976e-10,1.29940130573e-10,9.49673953973e-11,8.84345984142e-11,1.22223939685e-10,4.98075403127e-11,7.94273398656e-11,8.40768487341e-11
38,8.93744697544e-11,8.74313844352e-11,8.29413316104e-11,9.60506736031e-11,1.00713726646e-10,4.01513820183e-10,1.34537155241e-10,1.23830328342e-10,1.16582401526e-10,1.59825519701e-10,1.74428213585e-10,6.84321795955e-11,8.56125436872e-11,9.64374527751e-11,1.47377115721e-10,1.09110211161e-10,1.17094571246e-10,7.96494397397e-11,1.93250785476e-10,1.56985186773e-10,1.09052615947e-10,1.01647270373e-10,1.43387753993e-10,5.82764106001e-11,9.20969832692e-11,9.63446149518e-11
39,1.02026009071e-10,9.94853184686e-11,9.4848784838e-11,1.0979756137e-10,1.15843468724e-10,4.8112646282e-10,1.56218095932e-10,1.44788007504e-10,1.34510864117e-10,1.85174763138e-10,2.05137765625e-10,7.64261121076e-11,9.83755842315e-11,1.10706192364e-10,1.7175756947e-10,1.25999016991e-10,1.36742780239e-10,9.10519758495e-11,2.29416646099e-10,1.85249667823e-10,1.25203831789e-10,1.16442924475e-10,1.65065986588e-10,6.52838608953e-11,1.05533019747e-10,1.06829260473e-10
40,6.56803368382e-11,6.42696425333e-11,5.98573049499e-11,7.069419023e-11,7.24967708075e-11,2.73454496504e-10,9.71497895327e-11,8.71995294675e-11,8.52359036643e-11,1.1678450214e-10,1.18154653561e-10,5.41894648263e-11,6.14172041468e-11,7.03341039242e-11,1.02128782234e-10,8.06928645004e-11,6.8352485269e-11,5.62727371329e-11,1.48236277674e-10,1.07383410735e-10,7.58523195132e-11,7.4644096388e-11,1.00606640929e-10,4.25859599789e-11,6.62751272626e-11,7.07048265574e-11
41,6.74692823525e-11,6.69622864161e-11,6.2678385953e-11,7.43404514319e-11,7.61018433825e-11,2.91709127979e-10,1.0282299941e-10,9.27683976947e-11,8.91919446188e-11,1.23036452468e-10,1.25354549464e-10,5.29575500328e-11,6.44686226415e-11,7.36497131381e-11,1.08277749457e-10,8.50791186771e-11,7.15436701405e-11,5.92853266563e-11,1.46744815826e-10,1.14956833906e-10,7.96030553297e-11,7.81992835406e-11,1.0654619265e-10,4.41175394271e-11,6.95315000034e-11,7.35495774516e-11
42,9.35856152002e-11,9.36766368698e-11,8.75087819543e-11,1.00973251003e-10,1.03817620816e-10,4.08012256436e-10,1.40159415823e-10,1.27162370748e-10,1.20859946802e-10,1.67746561632e-10,1.72694673949e-10,7.38547861752e-11,8.96884281559e-11,1.01725940169e-10,1.52024713947e-10,1.13017343488e-10,1.00893775445e-10,8.2669234801e-11,2.00540448156e-10,1.6338564355e-10,1.12663430671e-10,1.06887008949e-10,1.48546894626e-10,6.07855206575e-11,9.75550236594e-11,1.00259260686e-10
43,9.09477711614e-11,9.0162200864e-11,8.57023830462e-11,1.01160616929e-10,1.03105626377e-10,4.4202380672e-10,1.4441855601e-10,1.3121470972e-10,1.22118339809e-10,1.691736595e-10,1.7846215851e-10,6.97719479613e-11,8.84665599697e-11,1.0024625602e-10,1.56177851229e-10,1.17256156808e-10,9.60171350252e-11,8.13426743886e-11,2.11410748108e-10,1.7026888295e-10,1.07682970476e-10,1.05639439875e-10,1.49302731492e-10,5.93252821917e-11,9.49472611763e-11,9.59651099574e-11
44,4.96106848986e-11,4.73434256301e-11,4.59275774583e-11,5.86113248861e-11,5.72499504724e-11,2.49506100763e-10,8.37834311157e-11,7.38402160563e-11,6.97917172965e-11,9.35423097305e-11,9.99577652565e-11,3.72288271822e-11,4.77174883908e-11,5.2399619065e-11,8.70414071021e-11,7.13405222445e-11,4.7573382981e-11,4.43227140659e-11,1.28452953688e-10,9.23250394203e-11,5.25647241266e-11,5.876911469e-11,8.74978465298e-11,3.4996666771e-11,4.9413859388e-11,5.63214068937e-11
45,5.12635553626e-11,5.00208087854e-11,4.87309878348e-11,6.22573259408e-11,6.07769268333e-11,2.67316793654e-10,8.94591655653e-11,7.88656464617e-11,7.36766810947e-11,9.97743884722e-11,1.06908618032e-10,3.95619957057e-11,5.07272961437e-11,5.53916024888e-11,9.31399118978e-11,7.57210951854e-11,5.05304046196e-11,4.72900100741e-11,1.2733508502e-10,9.99004507296e-11,5.60350914294e-11,6.22542146022e-11,9.34102279991e-11,3.65003857211e-11,5.26174551982e-11,5.9065573087e-11
